Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,CABIXI_15124009,PIMENTEIRAS_15130000,PEDRAS_NEGRAS_15150000,PRINCIPE_DA_BEIRA_15200000,BOCA_DO_POMPEU_-_JUSANTE_15248010,GUAJARÁ-MIRIM_15250000,PORTO_VELHO_15400000,FAZENDA_FLOR_DO_CAMPO_15552600,PIMENTA_BUENO_15558000,JIPARANÁ_15560000
2003-06,RO,395.0,40.0,9.88,29.4,9113.0,425.3,-,-,31.41,31.85,19.7,76.09,0.79,92.86,462.73,0.72,298.1,443.06,565.35,934.98,268.93,990.32,902.58,284.37,468.85,705.83
2003-07,RO,3610.0,52.0,69.42,56.02,131918.9,5641.1,-,-,4.61,32.25,17.88,69.37,0.98,110.51,552.2,0.87,246.02,368.89,377.16,589.47,151.48,867.65,567.82,264.6,410.69,669.52
2003-08,RO,24559.0,52.0,472.29,64.4,949747.3,4941.0,-,-,35.05,32.76,18.77,65.42,1.15,120.52,540.8,1.06,223.08,352.5,285.75,432.35,91.58,728.95,382.82,256.32,391.44,654.02
2003-09,RO,23265.0,52.0,447.4,71.74,1077989.5,12414.7,-,-,114.13,33.13,20.3,71.29,1.02,111.26,492.93,0.87,230.56,328.64,252.15,383.38,89.13,586.5,296.75,259.32,393.72,656.87
2003-10,RO,13814.0,52.0,265.65,70.75,665930.5,5103.4,-,-,146.64,32.33,21.98,78.48,0.78,118.8,528.57,0.92,252.58,324.52,252.86,381.65,125.32,660.74,430.66,261.85,395.9,671.5
2003-11,RO,1523.0,51.0,29.86,31.2,37028.8,587.6,-,-,136.22,32.01,22.12,81.13,0.68,112.76,510.21,0.89,276.09,348.27,277.28,403.7,144.93,697.22,528.7,260.63,408.78,666.62
2003-12,RO,454.0,42.0,10.81,35.25,11704.4,976.3,-,-,201.31,32.1,22.5,82.0,0.66,118.21,542.91,0.71,284.39,369.5,303.39,420.02,187.0,710.5,812.85,284.35,442.82,694.68
2004-01,RO,51.0,15.0,3.4,15.17,652.2,58.3,-,-,340.09,31.13,22.8,84.99,0.54,102.99,468.05,0.74,372.77,500.58,440.89,682.24,457.65,864.37,1294.58,344.4,620.58,846.65
2004-02,RO,29.0,10.0,2.9,18.33,421.7,89.6,-,-,326.0,30.95,22.31,85.53,0.51,96.02,442.43,0.7,416.75,647.17,609.03,943.05,518.72,946.68,1373.69,433.31,788.62,962.91
2004-03,RO,47.0,22.0,2.14,13.01,455.5,63.4,-,-,281.47,31.62,22.29,84.25,0.56,106.6,491.27,0.79,411.65,647.69,690.37,1093.05,502.35,975.01,1300.35,414.45,773.45,958.81
2004-04,RO,42.0,19.0,2.21,10.81,421.4,33.1,-,-,169.25,31.72,22.18,83.87,0.58,96.27,449.75,0.75,383.02,559.58,666.8,1147.18,495.03,977.23,1287.47,336.47,594.23,849.25
2004-05,RO,62.0,17.0,3.65,15.63,813.0,70.4,-,-,52.71,29.28,19.97,83.94,0.51,82.7,401.58,0.92,296.42,509.46,596.61,1037.45,426.94,930.65,1104.24,298.65,495.24,746.2
2004-06,RO,802.0,41.0,19.56,28.24,14035.5,329.5,-,-,17.03,31.24,18.74,76.59,0.74,92.22,464.0,0.81,251.62,444.62,504.47,745.08,311.27,794.11,815.37,277.35,436.95,694.72
2004-07,RO,3802.0,52.0,73.12,43.95,110326.3,1577.0,-,-,21.2,31.67,18.45,73.26,0.85,103.33,512.88,0.88,230.09,367.19,354.61,505.6,198.32,680.74,606.23,264.24,407.74,666.44
2004-08,RO,24512.0,52.0,471.38,74.11,1119003.6,4543.5,-,-,29.4,33.8,18.85,66.61,1.15,111.2,497.33,0.83,207.98,325.44,277.49,412.13,108.87,613.16,456.1,257.53,381.71,642.31
2004-09,RO,51900.0,52.0,998.08,69.71,2327669.5,5341.9,-,-,56.74,33.68,20.57,68.6,1.13,111.98,482.6,0.83,203.29,299.65,237.25,402.03,107.23,568.88,319.48,255.03,385.13,643.25
2004-10,RO,12954.0,52.0,249.12,57.55,394420.5,6314.7,-,-,147.55,33.01,22.21,76.22,0.89,122.41,540.05,0.9,229.15,309.13,233.81,402.92,126.81,564.13,344.34,264.84,406.34,658.21
2004-11,RO,1189.0,49.0,24.27,33.84,28049.3,1022.0,-,-,244.47,32.15,22.26,81.07,0.69,112.83,508.88,0.85,280.77,360.77,267.78,418.68,237.43,638.17,604.3,278.3,433.18,698.45
2004-12,RO,405.0,40.0,10.12,29.92,10293.1,1110.8,-,-,279.09,31.64,22.61,82.36,0.64,112.08,507.49,0.8,347.1,418.65,340.42,551.06,312.42,772.68,897.0,347.71,542.71,784.23
2005-01,RO,200.0,22.0,9.09,26.0,3822.4,427.4,-,-,263.05,31.93,22.84,84.19,0.58,112.82,516.25,0.71,425.04,573.55,519.69,814.79,408.48,901.32,1137.27,377.35,697.5,935.31
2005-02,RO,52.0,13.0,4.0,11.58,532.9,26.5,-,-,283.54,31.41,22.64,84.77,0.55,92.8,421.09,0.7,426.99,647.2,594.66,915.78,384.5,929.71,1227.54,355.48,701.41,916.73
2005-03,RO,29.0,13.0,2.23,12.81,256.1,32.5,-,-,324.55,31.17,22.69,85.48,0.52,96.38,437.62,0.77,433.55,647.06,646.95,1078.71,406.03,989.31,1361.32,389.09,748.89,990.52
